Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
1,1,15-01-2021 08:30,Adelaide 36ers,Melbourne United,65,89,Melbourne United
5,1,16-01-2021 06:30,Brisbane Bullets,Illawarra Hawks,84,90,Illawarra Hawks
3,1,16-01-2021 09:00,Cairns Taipans,Sydney Kings,87,86,Cairns Taipans
2,1,17-01-2021 04:00,Adelaide 36ers,South East Melbourne Phoenix,116,108,Adelaide 36ers
4,1,18-01-2021 08:30,Cairns Taipans,Illawarra Hawks,76,92,Illawarra Hawks
6,2,20-01-2021 08:30,Adelaide 36ers,South East Melbourne Phoenix,83,89,South East Melbourne Phoenix
7,2,21-01-2021 08:30,Brisbane Bullets,Illawarra Hawks,82,90,Illawarra Hawks
8,2,22-01-2021 08:30,Adelaide 36ers,New Zealand Breakers,93,91,Adelaide 36ers
9,2,23-01-2021 09:00,Cairns Taipans,Sydney Kings,91,99,Sydney Kings
10,2,24-01-2021 06:00,Perth Wildcats,South East Melbourne Phoenix,88,76,Perth Wildcats
11,2,25-01-2021 08:30,Cairns Taipans,Melbourne United,85,87,Melbourne United
12,3,26-01-2021 04:00,Brisbane Bullets,Sydney Kings,90,87,Brisbane Bullets
13,3,27-01-2021 08:30,Adelaide 36ers,New Zealand Breakers,88,78,Adelaide 36ers
15,3,28-01-2021 08:30,Cairns Taipans,Illawarra Hawks,70,90,Illawarra Hawks
14,3,29-01-2021 10:30,Perth Wildcats,South East Melbourne Phoenix,89,90,South East Melbourne Phoenix
16,3,30-01-2021 06:30,Brisbane Bullets,Cairns Taipans,108,103,Brisbane Bullets
17,3,30-01-2021 09:00,Adelaide 36ers,Sydney Kings,85,80,Adelaide 36ers
18,3,31-01-2021 04:00,Melbourne United,South East Melbourne Phoenix,96,90,Melbourne United
20,4,05-02-2021 08:30,Brisbane Bullets,Melbourne United,96,109,Melbourne United
22,4,06-02-2021 06:30,Cairns Taipans,New Zealand Breakers,79,85,New Zealand Breakers
23,4,06-02-2021 09:00,Adelaide 36ers,Sydney Kings,75,94,Sydney Kings
24,4,07-02-2021 04:00,South East Melbourne Phoenix,Illawarra Hawks,98,82,South East Melbourne Phoenix
25,4,07-02-2021 06:00,Melbourne United,Perth Wildcats,75,71,Melbourne United
26,4,08-02-2021 08:30,Cairns Taipans,New Zealand Breakers,84,69,Cairns Taipans
27,5,10-02-2021 08:30,Illawarra Hawks,Melbourne United,88,91,Melbourne United
28,5,11-02-2021 08:30,South East Melbourne Phoenix,Perth Wildcats,75,106,Perth Wildcats
29,5,12-02-2021 08:30,Sydney Kings,New Zealand Breakers,84,74,Sydney Kings
31,5,13-02-2021 09:00,Brisbane Bullets,Adelaide 36ers,70,85,Adelaide 36ers
32,5,14-02-2021 04:00,Sydney Kings,Illawarra Hawks,82,85,Illawarra Hawks
33,5,14-02-2021 06:00,South East Melbourne Phoenix,Perth Wildcats,96,71,South East Melbourne Phoenix
34,5,15-02-2021 08:30,Adelaide 36ers,Brisbane Bullets,74,93,Brisbane Bullets
35,6,20-02-2021 04:00,Cairns Taipans,Illawarra Hawks,101,95,Cairns Taipans
36,6,20-02-2021 06:30,Melbourne United,Perth Wildcats,85,89,Perth Wildcats
37,6,21-02-2021 04:00,South East Melbourne Phoenix,Brisbane Bullets,99,83,South East Melbourne Phoenix
38,6,21-02-2021 06:30,Sydney Kings,Adelaide 36ers,94,77,Sydney Kings
39,6,22-02-2021 06:00,Illawarra Hawks,New Zealand Breakers,102,88,Illawarra Hawks
40,6,22-02-2021 08:30,Melbourne United,Cairns Taipans,88,81,Melbourne United
41,6,23-02-2021 06:00,Sydney Kings,Perth Wildcats,106,113,Perth Wildcats
42,6,23-02-2021 08:30,Adelaide 36ers,South East Melbourne Phoenix,99,94,Adelaide 36ers
43,7,25-02-2021 06:00,Sydney Kings,New Zealand Breakers,96,78,Sydney Kings
44,7,25-02-2021 08:30,Adelaide 36ers,Melbourne United,93,82,Adelaide 36ers
45,7,26-02-2021 06:00,Brisbane Bullets,Illawarra Hawks,97,91,Brisbane Bullets
46,7,26-02-2021 08:30,Cairns Taipans,Perth Wildcats,69,89,Perth Wildcats
47,7,27-02-2021 06:30,Adelaide 36ers,New Zealand Breakers,62,106,New Zealand Breakers
48,7,27-02-2021 09:00,Melbourne United,Sydney Kings,83,80,Melbourne United
49,7,28-02-2021 03:00,South East Melbourne Phoenix,Illawarra Hawks,93,76,South East Melbourne Phoenix
50,7,28-02-2021 05:30,Brisbane Bullets,Cairns Taipans,115,95,Brisbane Bullets
51,8,03-03-2021 06:00,New Zealand Breakers,Brisbane Bullets,97,92,New Zealand Breakers
52,8,03-03-2021 08:30,Perth Wildcats,South East Melbourne Phoenix,93,92,Perth Wildcats
53,8,04-03-2021 06:00,Cairns Taipans,Sydney Kings,96,92,Cairns Taipans
54,8,04-03-2021 08:30,Illawarra Hawks,Adelaide 36ers,98,89,Illawarra Hawks
55,8,05-03-2021 06:00,Perth Wildcats,Brisbane Bullets,92,95,Brisbane Bullets
56,8,05-03-2021 08:30,New Zealand Breakers,Melbourne United,84,87,Melbourne United
57,8,06-03-2021 06:30,Adelaide 36ers,Cairns Taipans,81,71,Adelaide 36ers
58,8,06-03-2021 09:00,South East Melbourne Phoenix,Sydney Kings,85,91,Sydney Kings
59,8,07-03-2021 03:00,Melbourne United,Brisbane Bullets,88,96,Brisbane Bullets
60,8,07-03-2021 05:30,Illawarra Hawks,Perth Wildcats,70,87,Perth Wildcats
61,9,10-03-2021 06:00,New Zealand Breakers,Cairns Taipans,76,73,New Zealand Breakers
62,9,10-03-2021 08:30,South East Melbourne Phoenix,Melbourne United,97,92,South East Melbourne Phoenix
63,9,11-03-2021 06:00,Brisbane Bullets,Adelaide 36ers,109,104,Brisbane Bullets
64,9,11-03-2021 08:30,Sydney Kings,Illawarra Hawks,69,89,Illawarra Hawks
65,9,12-03-2021 06:00,Perth Wildcats,New Zealand Breakers,85,75,Perth Wildcats
66,9,12-03-2021 08:30,Cairns Taipans,South East Melbourne Phoenix,81,85,South East Melbourne Phoenix
67,9,13-03-2021 06:30,Brisbane Bullets,Sydney Kings,108,119,Sydney Kings
68,9,13-03-2021 09:00,Illawarra Hawks,Melbourne United,77,69,Illawarra Hawks
69,9,14-03-2021 03:00,New Zealand Breakers,South East Melbourne Phoenix,89,103,South East Melbourne Phoenix
70,9,14-03-2021 05:30,Perth Wildcats,Adelaide 36ers,97,88,Perth Wildcats
71,10,19-03-2021 08:30,Sydney Kings,Melbourne United,103,75,Sydney Kings
72,10,19-03-2021 10:30,Perth Wildcats,Cairns Taipans,93,75,Perth Wildcats
73,10,20-03-2021 06:30,South East Melbourne Phoenix,Adelaide 36ers,96,89,South East Melbourne Phoenix
74,10,20-03-2021 09:00,Brisbane Bullets,New Zealand Breakers,88,67,Brisbane Bullets
75,10,21-03-2021 04:00,Melbourne United,Illawarra Hawks,75,65,Melbourne United
76,10,21-03-2021 06:00,Sydney Kings,Cairns Taipans,75,73,Sydney Kings
77,10,22-03-2021 10:30,Perth Wildcats,Adelaide 36ers,92,82,Perth Wildcats
79,11,25-03-2021 08:30,New Zealand Breakers,Melbourne United,79,82,Melbourne United
78,11,26-03-2021 10:30,Perth Wildcats,Illawarra Hawks,81,70,Perth Wildcats
80,11,27-03-2021 06:30,Brisbane Bullets,New Zealand Breakers,76,81,New Zealand Breakers
81,11,27-03-2021 09:00,South East Melbourne Phoenix,Melbourne United,60,80,Melbourne United
82,11,28-03-2021 04:00,Sydney Kings,Perth Wildcats,65,89,Perth Wildcats
83,11,28-03-2021 06:00,Cairns Taipans,Adelaide 36ers,79,65,Cairns Taipans
84,11,29-03-2021 08:30,Illawarra Hawks,Brisbane Bullets,96,72,Illawarra Hawks
85,12,01-04-2021 08:30,Illawarra Hawks,South East Melbourne Phoenix,63,95,South East Melbourne Phoenix
86,12,01-04-2021 10:30,Perth Wildcats,Sydney Kings,95,89,Perth Wildcats
87,12,02-04-2021 06:30,Melbourne United,Cairns Taipans,95,85,Melbourne United
90,12,03-04-2021 06:30,Sydney Kings,Brisbane Bullets,90,71,Sydney Kings
89,12,03-04-2021 09:00,Adelaide 36ers,Illawarra Hawks,84,72,Adelaide 36ers
91,12,04-04-2021 05:00,South East Melbourne Phoenix,New Zealand Breakers,92,85,South East Melbourne Phoenix
92,12,04-04-2021 07:00,Cairns Taipans,Melbourne United,73,83,Melbourne United
95,13,07-04-2021 09:30,Illawarra Hawks,Brisbane Bullets,82,88,Brisbane Bullets
96,13,08-04-2021 09:30,Sydney Kings,Perth Wildcats,69,73,Perth Wildcats
97,13,09-04-2021 09:30,Illawarra Hawks,South East Melbourne Phoenix,82,80,Illawarra Hawks
98,13,10-04-2021 07:30,Adelaide 36ers,Perth Wildcats,83,68,Adelaide 36ers
99,13,10-04-2021 10:00,Melbourne United,New Zealand Breakers,84,78,Melbourne United
100,13,11-04-2021 05:00,Sydney Kings,South East Melbourne Phoenix,84,98,South East Melbourne Phoenix
101,13,11-04-2021 07:00,Illawarra Hawks,Cairns Taipans,82,80,Illawarra Hawks
102,13,12-04-2021 09:30,Melbourne United,Brisbane Bullets,98,89,Melbourne United
103,13,13-04-2021 09:30,New Zealand Breakers,Perth Wildcats,79,85,Perth Wildcats
104,14,14-04-2021 09:30,Cairns Taipans,Adelaide 36ers,91,88,Cairns Taipans
105,14,15-04-2021 09:30,Sydney Kings,South East Melbourne Phoenix,97,90,Sydney Kings
106,14,16-04-2021 09:30,New Zealand Breakers,Brisbane Bullets,91,71,New Zealand Breakers
107,14,16-04-2021 11:30,Perth Wildcats,Illawarra Hawks,83,69,Perth Wildcats
108,14,17-04-2021 07:30,South East Melbourne Phoenix,Adelaide 36ers,81,90,Adelaide 36ers
109,14,17-04-2021 10:00,Sydney Kings,Cairns Taipans,89,84,Sydney Kings
110,14,18-04-2021 05:00,Melbourne United,Illawarra Hawks,87,76,Melbourne United
111,14,18-04-2021 07:00,Perth Wildcats,New Zealand Breakers,78,83,New Zealand Breakers
112,15,22-04-2021 09:30,South East Melbourne Phoenix,Sydney Kings,81,101,Sydney Kings
113,15,23-04-2021 09:30,New Zealand Breakers,Cairns Taipans,68,70,Cairns Taipans
114,15,23-04-2021 11:30,Perth Wildcats,Brisbane Bullets,92,74,Perth Wildcats
115,15,24-04-2021 07:30,Melbourne United,Adelaide 36ers,92,78,Melbourne United
116,15,24-04-2021 10:00,Illawarra Hawks,Sydney Kings,75,79,Sydney Kings
118,15,25-04-2021 07:00,Cairns Taipans,South East Melbourne Phoenix,66,86,South East Melbourne Phoenix
119,15,26-04-2021 09:30,New Zealand Breakers,Adelaide 36ers,93,77,New Zealand Breakers
120,16,28-04-2021 09:30,Melbourne United,New Zealand Breakers,90,76,Melbourne United
121,16,29-04-2021 09:30,South East Melbourne Phoenix,Brisbane Bullets,82,94,Brisbane Bullets
122,16,01-05-2021 07:30,New Zealand Breakers,Perth Wildcats,86,84,New Zealand Breakers
123,16,01-05-2021 10:00,Adelaide 36ers,Brisbane Bullets,101,79,Adelaide 36ers
125,16,02-05-2021 05:00,Melbourne United,Sydney Kings,103,78,Melbourne United
126,16,03-05-2021 09:30,New Zealand Breakers,Illawarra Hawks,67,75,Illawarra Hawks
127,16,04-05-2021 09:30,Adelaide 36ers,Cairns Taipans,92,76,Adelaide 36ers
128,16,05-05-2021 09:30,Melbourne United,Perth Wildcats,69,82,Perth Wildcats
129,17,08-05-2021 07:30,South East Melbourne Phoenix,Melbourne United,82,93,Melbourne United
130,17,08-05-2021 10:00,Cairns Taipans,Brisbane Bullets,87,96,Brisbane Bullets
131,17,09-05-2021 05:00,Sydney Kings,Adelaide 36ers,88,97,Adelaide 36ers
132,17,09-05-2021 07:00,Perth Wildcats,New Zealand Breakers,98,84,Perth Wildcats
133,18,11-05-2021 09:30,Illawarra Hawks,Adelaide 36ers,71,66,Illawarra Hawks
134,18,12-05-2021 09:30,South East Melbourne Phoenix,New Zealand Breakers,91,82,South East Melbourne Phoenix
135,18,13-05-2021 09:30,Brisbane Bullets,Sydney Kings,93,70,Brisbane Bullets
136,18,13-05-2021 11:30,Perth Wildcats,Melbourne United,91,99,Melbourne United
137,18,14-05-2021 09:30,South East Melbourne Phoenix,Cairns Taipans,106,77,South East Melbourne Phoenix
138,18,15-05-2021 07:30,Brisbane Bullets,Perth Wildcats,90,102,Perth Wildcats
139,18,15-05-2021 10:00,Illawarra Hawks,New Zealand Breakers,73,71,Illawarra Hawks
140,18,16-05-2021 05:00,Melbourne United,South East Melbourne Phoenix,83,94,South East Melbourne Phoenix
141,18,16-05-2021 07:00,Sydney Kings,Adelaide 36ers,85,75,Sydney Kings
169,18,17-05-2021 09:30,Cairns Taipans,Perth Wildcats,78,89,Perth Wildcats
142,19,18-05-2021 09:30,Illawarra Hawks,Melbourne United,87,102,Melbourne United
143,19,19-05-2021 09:30,Brisbane Bullets,Perth Wildcats,91,88,Brisbane Bullets
144,19,20-05-2021 07:30,New Zealand Breakers,Sydney Kings,89,81,New Zealand Breakers
145,19,21-05-2021 09:30,Adelaide 36ers,Illawarra Hawks,73,81,Illawarra Hawks
146,19,21-05-2021 11:30,Perth Wildcats,Cairns Taipans,100,79,Perth Wildcats
147,19,22-05-2021 07:30,New Zealand Breakers,Sydney Kings,76,81,Sydney Kings
148,19,22-05-2021 10:00,Brisbane Bullets,South East Melbourne Phoenix,66,95,South East Melbourne Phoenix
149,19,23-05-2021 05:00,Adelaide 36ers,Perth Wildcats,68,76,Perth Wildcats
150,19,23-05-2021 07:00,Illawarra Hawks,Cairns Taipans,93,81,Illawarra Hawks
151,19,24-05-2021 09:30,Brisbane Bullets,Melbourne United,88,99,Melbourne United
152,19,25-05-2021 07:30,New Zealand Breakers,Adelaide 36ers,94,76,New Zealand Breakers
153,20,26-05-2021 09:30,Cairns Taipans,Brisbane Bullets,96,101,Brisbane Bullets
155,20,27-05-2021 11:30,Perth Wildcats,Sydney Kings,81,67,Perth Wildcats
156,20,28-05-2021 07:30,New Zealand Breakers,Illawarra Hawks,73,84,Illawarra Hawks
157,20,28-05-2021 09:30,South East Melbourne Phoenix,Cairns Taipans,87,94,Cairns Taipans
158,20,29-05-2021 10:00,Sydney Kings,Melbourne United,100,98,Sydney Kings
160,20,30-05-2021 05:00,Illawarra Hawks,Adelaide 36ers,97,83,Illawarra Hawks
159,20,30-05-2021 07:00,New Zealand Breakers,Brisbane Bullets,83,95,Brisbane Bullets
154,20,31-05-2021 09:30,Melbourne United,Cairns Taipans,101,76,Melbourne United
161,21,01-06-2021 09:30,Illawarra Hawks,Perth Wildcats,81,79,Illawarra Hawks
162,21,02-06-2021 07:30,New Zealand Breakers,Cairns Taipans,84,78,New Zealand Breakers
163,21,02-06-2021 09:30,South East Melbourne Phoenix,Brisbane Bullets,84,91,Brisbane Bullets
164,21,03-06-2021 09:30,Illawarra Hawks,Sydney Kings,73,79,Sydney Kings
165,21,04-06-2021 11:30,Perth Wildcats,Melbourne United,64,78,Melbourne United
166,21,05-06-2021 07:30,New Zealand Breakers,South East Melbourne Phoenix,78,83,South East Melbourne Phoenix
167,21,05-06-2021 10:00,Sydney Kings,Brisbane Bullets,83,82,Sydney Kings
168,21,06-06-2021 05:00,Melbourne United,Adelaide 36ers,102,80,Melbourne United
170,21,08-06-2021 09:30,Brisbane Bullets,South East Melbourne Phoenix,94,84,Brisbane Bullets
