Full Name,Name
Athletic Club,Athletic Bilbao
Atlético de Madrid,Atlético Madrid
C.A. Osasuna,Osasuna
CA Osasuna,Osasuna
Cádiz CF,Cádiz
CD Leganés,Leganés
D. Alavés,Deportivo Alavés
Deportivo Alavés,Deportivo Alavés
Elche CF,Elche
FC Barcelona,Barcelona
Getafe CF,Getafe
Girona FC,Girona
Granada CF,Granada
Levante UD,Levante
R. Valladolid CF,Real Valladolid
Rayo Vallecano,Rayo Vallecano
RC Celta,Celta Vigo
RCD Espanyol,Espanyol
RCD Espanyol de Barcelona,Espanyol
RCD Mallorca,Mallorca
Real Betis,Real Betis
Real Madrid,Real Madrid
Real Sociedad,Real Sociedad
Real Valladolid CF,Real Valladolid
SD Eibar,Eibar
SD Huesca,Huesca
Sevilla FC,Sevilla
UD Almería,Almería
UD Las Palmas,Las Palmas
Valencia CF,Valencia
Villarreal CF,Villarreal